    721    14   256     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1 2p           1 radial matrix data

        binding energy =  755.851 eV

            k     R(li+1)    phase(li+1)     R(li-1)    phase(li-1)
       9.7000    0.37042E-01      2.7409    0.89213E-02      0.0010
       9.7500    0.36820E-01      2.7381    0.88819E-02     -0.0093
       9.8000    0.36601E-01      2.7352    0.88426E-02     -0.0195
       9.8500    0.36385E-01      2.7322    0.88034E-02     -0.0298
       9.9000    0.36172E-01      2.7290    0.87644E-02     -0.0401
       9.9500    0.35963E-01      2.7257    0.87257E-02     -0.0505
      10.0000    0.35756E-01      2.7224    0.86871E-02     -0.0608
      10.0500    0.35553E-01      2.7189    0.86488E-02     -0.0712
      10.1000    0.35353E-01      2.7154    0.86107E-02     -0.0816
      10.1500    0.35157E-01      2.7118    0.85729E-02     -0.0920
      10.2000    0.34964E-01      2.7081    0.85353E-02     -0.1025
      10.2500    0.34775E-01      2.7043    0.84981E-02     -0.1129
      10.3000    0.34589E-01      2.7004    0.84611E-02     -0.1234
      10.3500    0.34407E-01      2.6965    0.84245E-02     -0.1338
      10.4000    0.34229E-01      2.6925    0.83881E-02     -0.1443
      10.4500    0.34054E-01      2.6885    0.83521E-02     -0.1548
      10.5000    0.33882E-01      2.6844    0.83165E-02     -0.1653
      10.5500    0.33714E-01      2.6803    0.82812E-02     -0.1758
      10.6000    0.33550E-01      2.6762    0.82462E-02     -0.1863
      10.6500    0.33389E-01      2.6720    0.82119E-02     -0.1968
      10.7000    0.33232E-01      2.6678    0.81777E-02     -0.2073
      10.7500    0.33078E-01      2.6635    0.81438E-02     -0.2178
      10.8000    0.32927E-01      2.6593    0.81103E-02     -0.2283
      10.8500    0.32779E-01      2.6550    0.80772E-02     -0.2388
      10.9000    0.32635E-01      2.6507    0.80445E-02     -0.2493
      10.9500    0.32494E-01      2.6464    0.80122E-02     -0.2597
      11.0000    0.32357E-01      2.6422    0.79803E-02     -0.2702
      11.0500    0.32222E-01      2.6379    0.79487E-02     -0.2806
      11.1000    0.32090E-01      2.6336    0.79176E-02     -0.2911
      11.1500    0.31961E-01      2.6293    0.78868E-02     -0.3015
      11.2000    0.31836E-01      2.6251    0.78565E-02     -0.3119
      11.2500    0.31713E-01      2.6209    0.78265E-02     -0.3223
      11.3000    0.31593E-01      2.6166    0.77969E-02     -0.3327
      11.3500    0.31475E-01      2.6125    0.77678E-02     -0.3430
      11.4000    0.31361E-01      2.6083    0.77390E-02     -0.3533
      11.4500    0.31248E-01      2.6042    0.77106E-02     -0.3636
      11.5000    0.31138E-01      2.6002    0.76826E-02     -0.3739
      11.5500    0.31031E-01      2.5961    0.76550E-02     -0.3842
      11.6000    0.30925E-01      2.5921    0.76277E-02     -0.3944
      11.6500    0.30822E-01      2.5882    0.76008E-02     -0.4046
      11.7000    0.30721E-01      2.5843    0.75744E-02     -0.4147
      11.7500    0.30622E-01      2.5805    0.75483E-02     -0.4248
      11.8000    0.30525E-01      2.5767    0.75226E-02     -0.4349
      11.8500    0.30429E-01      2.5730    0.74972E-02     -0.4449
      11.9000    0.30336E-01      2.5694    0.74722E-02     -0.4549
      11.9500    0.30243E-01      2.5658    0.74475E-02     -0.4649
      12.0000    0.30153E-01      2.5623    0.74231E-02     -0.4748
      12.0500    0.30063E-01      2.5589    0.73991E-02     -0.4847
      12.1000    0.29975E-01      2.5555    0.73755E-02     -0.4945
      12.1500    0.29888E-01      2.5522    0.73521E-02     -0.5042
      12.2000    0.29802E-01      2.5490    0.73290E-02     -0.5140
      12.2500    0.29717E-01      2.5459    0.73063E-02     -0.5236
      12.3000    0.29632E-01      2.5428    0.72839E-02     -0.5333
      12.3500    0.29549E-01      2.5399    0.72617E-02     -0.5428
      12.4000    0.29466E-01      2.5370    0.72399E-02     -0.5523
      12.4500    0.29383E-01      2.5342    0.72183E-02     -0.5618
      12.5000    0.29301E-01      2.5314    0.71969E-02     -0.5712
      12.5500    0.29219E-01      2.5288    0.71758E-02     -0.5805
      12.6000    0.29137E-01      2.5262    0.71550E-02     -0.5898
