    711    12   257     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

        Ag              Silver phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)  p(l=10)  p(l=11)  p(l=12)  p(l=13)  p(l=14)  p(l=15)  p(l=16)  p(l=17)  p(l=18)  p(l=19)
        20              lnum
    6.3000  -2.4414   1.8052  -0.6671   2.7476   1.1376   0.5997   0.4201   0.2578   0.1079   0.0323   0.0075   0.0014   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.3500  -2.4615   1.7869  -0.6781   2.7569   1.1501   0.6047   0.4230   0.2658   0.1146   0.0352   0.0084   0.0016   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.4000  -2.4812   1.7688  -0.6893   2.7657   1.1620   0.6102   0.4256   0.2734   0.1215   0.0383   0.0093   0.0018   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.4500  -2.5007   1.7510  -0.7006   2.7742   1.1734   0.6161   0.4279   0.2808   0.1286   0.0416   0.0103   0.0021   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.5000  -2.5198   1.7333  -0.7120   2.7821   1.1842   0.6223   0.4300   0.2878   0.1358   0.0450   0.0115   0.0023   0.0004   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.5500  -2.5387   1.7160  -0.7235   2.7895   1.1945   0.6290   0.4319   0.2944   0.1430   0.0487   0.0127   0.0026   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.6000  -2.5572   1.6989  -0.7350   2.7964   1.2042   0.6361   0.4337   0.3007   0.1504   0.0525   0.0140   0.0030   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.6500  -2.5754   1.6820  -0.7466   2.8027   1.2134   0.6435   0.4353   0.3065   0.1578   0.0566   0.0154   0.0033   0.0006   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.7000  -2.5934   1.6654  -0.7581   2.8085   1.2222   0.6513   0.4369   0.3119   0.1652   0.0608   0.0169   0.0037   0.0007   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.7500  -2.6110   1.6492  -0.7696   2.8137   1.2305   0.6593   0.4384   0.3170   0.1726   0.0653   0.0185   0.0042   0.0008   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.8000  -2.6284   1.6332  -0.7811   2.8184   1.2385   0.6677   0.4399   0.3216   0.1800   0.0699   0.0203   0.0047   0.0009   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.8500  -2.6456   1.6175  -0.7924   2.8225   1.2462   0.6763   0.4415   0.3259   0.1873   0.0748   0.0222   0.0052   0.0010   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.9000  -2.6625   1.6021  -0.8036   2.8262   1.2536   0.6850   0.4432   0.3297   0.1945   0.0798   0.0242   0.0058   0.0011   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.9500  -2.6792   1.5869  -0.8147   2.8294   1.2608   0.6939   0.4450   0.3332   0.2015   0.0849   0.0264   0.0065   0.0013   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    7.0000  -2.6957   1.5721  -0.8256   2.8321   1.2678   0.7029   0.4470   0.3364   0.2084   0.0903   0.0287   0.0072   0.0015   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    7.0500  -2.7120   1.5575  -0.8363   2.8345   1.2748   0.7118   0.4492   0.3392   0.2152   0.0958   0.0312   0.0080   0.0017   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    7.1000  -2.7281   1.5431  -0.8468   2.8366   1.2817   0.7208   0.4515   0.3417   0.2217   0.1014   0.0338   0.0088   0.0019   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    7.1500  -2.7441   1.5290  -0.8571   2.8383   1.2886   0.7296   0.4541   0.3439   0.2280   0.1072   0.0365   0.0097   0.0021   0.0004   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
    7.2000  -2.7600   1.5151  -0.8672   2.8399   1.2956   0.7384   0.4570   0.3458   0.2340   0.1130   0.0395   0.0107   0.0024   0.0004   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
    7.2500  -2.7758   1.5014  -0.8770   2.8412   1.3027   0.7469   0.4601   0.3475   0.2398   0.1190   0.0425   0.0118   0.0026   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
    7.3000  -2.7915   1.4879  -0.8866   2.8424   1.3100   0.7553   0.4636   0.3490   0.2453   0.1250   0.0458   0.0129   0.0030   0.0006   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
    7.3500  -2.8072   1.4745  -0.8959   2.8434   1.3174   0.7633   0.4673   0.3504   0.2505   0.1311   0.0492   0.0142   0.0033   0.0006   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
    7.4000  -2.8228   1.4613  -0.9049   2.8445   1.3250   0.7711   0.4713   0.3515   0.2554   0.1372   0.0527   0.0155   0.0037   0.0007   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
    7.4500  -2.8384   1.4482  -0.9137   2.8455   1.3329   0.7786   0.4756   0.3526   0.2600   0.1434   0.0565   0.0170   0.0041   0.0008   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
    7.5000  -2.8541   1.4352  -0.9223   2.8465   1.3410   0.7857   0.4803   0.3536   0.2643   0.1495   0.0603   0.0185   0.0046   0.0009   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000
    7.5500  -2.8697   1.4223  -0.9306   2.8476   1.3494   0.7925   0.4852   0.3545   0.2683   0.1556   0.0644   0.0202   0.0051   0.0010   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000
    7.6000  -2.8854   1.4094  -0.9387   2.8488   1.3580   0.7990   0.4903   0.3554   0.2719   0.1616   0.0686   0.0219   0.0056   0.0012   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000
    7.6500  -2.9011   1.3966  -0.9466   2.8502   1.3668   0.8051   0.4958   0.3563   0.2752   0.1676   0.0729   0.0238   0.0062   0.0013   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000
    7.7000  -2.9168   1.3837  -0.9543   2.8517   1.3759   0.8109   0.5014   0.3572   0.2782   0.1734   0.0773   0.0258   0.0069   0.0015   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000
    7.7500  -2.9326   1.3709  -0.9618   2.8534   1.3852   0.8163   0.5072   0.3582   0.2810   0.1792   0.0819   0.0280   0.0076   0.0017   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000
    7.8000  -2.9485   1.3580  -0.9691   2.8552   1.3946   0.8215   0.5132   0.3593   0.2834   0.1848   0.0866   0.0302   0.0083   0.0019   0.0004   0.0001   0.0000   0.0000   0.0000   0.0000
    7.8500  -2.9645   1.3451  -0.9764   2.8573   1.4042   0.8264   0.5194   0.3606   0.2856   0.1902   0.0914   0.0326   0.0092   0.0021   0.0004   0.0001   0.0000   0.0000   0.0000   0.0000
    7.9000  -2.9805   1.3321  -0.9835   2.8595   1.4138   0.8310   0.5256   0.3619   0.2875   0.1955   0.0964   0.0351   0.0101   0.0024   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000
    7.9500  -2.9966   1.3191  -0.9906   2.8619   1.4236   0.8354   0.5319   0.3634   0.2892   0.2006   0.1013   0.0378   0.0110   0.0026   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000
    8.0000  -3.0128   1.3059  -0.9976   2.8646   1.4333   0.8396   0.5382   0.3651   0.2907   0.2054   0.1064   0.0405   0.0121   0.0029   0.0006   0.0001   0.0000   0.0000   0.0000   0.0000
