   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Cobalto
 calculated by Yufeng Chen (LBNL) on Aug  6, 2026

   initial angular momentum (li) = 1   msorder=  1   raorder= 0
   photon polarization angle (polar,azimuth) =(  30.0   0.0 ) (deg)

   radius, depth and lattice constant=   0.0,   3.0 and   4.09 angstrom
   cluster size=   4 atoms and spacings=  0.00 angstrom
   inner potential=  0.0 V  debye and sample temperature=   1,   0 K
   number of valence electrons=   9     bandgap energy=   0.00 eV
   density of bulk=   8.90 g/cm3     molecular weight=  58.93 amu
   effective weight=  107.9 amu
   half aperture angle=    1.5 deg            pathcut=     0.0000

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
  189.0    9.7748e-04    9.7621e-04    1.3005e-03    3.4685e-02
  192.0    9.7343e-04    9.7621e-04   -2.8481e-03    5.2255e-02
  195.0    9.7257e-04    9.7621e-04   -3.7295e-03    1.3629e-02
  198.0    9.7496e-04    9.7621e-04   -1.2838e-03    6.6550e-04
  201.0    9.7758e-04    9.7621e-04    1.4024e-03    1.3659e-02
  204.0    9.7761e-04    9.7621e-04    1.4291e-03   -9.9448e-03
  207.0    9.7490e-04    9.7621e-04   -1.3400e-03   -6.9394e-02
  210.0    9.7180e-04    9.7621e-04   -4.5228e-03   -9.4282e-02
  213.0    9.7087e-04    9.7621e-04   -5.4747e-03   -6.0676e-02
  216.0    9.7291e-04    9.7621e-04   -3.3761e-03   -3.0548e-02
  219.0    9.7675e-04    9.7621e-04    5.5742e-04    1.4995e-02
  222.0    9.8025e-04    9.7621e-04    4.1335e-03   -1.6832e-03
  225.0    9.8163e-04    9.7621e-04    5.5504e-03    2.1609e-02
  228.0    9.8025e-04    9.7621e-04    4.1335e-03    1.8540e-02
  231.0    9.7675e-04    9.7621e-04    5.5754e-04    5.1096e-02
   3    41  13.63   24.0    1.0    0.0   ----------------------------
  111.0    9.7745e-04    9.7581e-04    1.6830e-03   -1.2490e-02
  114.0    9.7409e-04    9.7581e-04   -1.7618e-03   -3.7491e-03
  117.0    9.7331e-04    9.7581e-04   -2.5645e-03    8.2344e-03
  120.0    9.7364e-04    9.7581e-04   -2.2300e-03    2.8238e-02
  123.0    9.7405e-04    9.7581e-04   -1.8045e-03    1.0912e-02
  126.0    9.7752e-04    9.7581e-04    1.7523e-03    1.0955e-03
  129.0    9.8168e-04    9.7581e-04    6.0101e-03    6.1878e-03
  132.0    9.7957e-04    9.7581e-04    3.8531e-03    3.4016e-02
  135.0    9.7351e-04    9.7581e-04   -2.3632e-03    4.1323e-02
  138.0    9.7172e-04    9.7581e-04   -4.1886e-03   -1.7176e-03
  141.0    9.7337e-04    9.7581e-04   -2.5051e-03   -5.2437e-02
  144.0    9.7359e-04    9.7581e-04   -2.2774e-03   -7.5042e-02
  147.0    9.7505e-04    9.7581e-04   -7.8326e-04   -5.9561e-02
  150.0    9.7960e-04    9.7581e-04    3.8794e-03   -3.3071e-02
  153.0    9.8074e-04    9.7581e-04    5.0467e-03   -3.7705e-02
  156.0    9.7547e-04    9.7581e-04   -3.5471e-04   -1.3808e-02
  159.0    9.7117e-04    9.7581e-04   -4.7601e-03   -3.6766e-03
  162.0    9.7379e-04    9.7581e-04   -2.0771e-03    2.5569e-02
  165.0    9.7921e-04    9.7581e-04    3.4845e-03    1.2107e-02
  168.0    9.8027e-04    9.7581e-04    4.5732e-03    1.1047e-02
  171.0    9.7605e-04    9.7581e-04    2.4617e-04    2.0907e-02
  174.0    9.7181e-04    9.7581e-04   -4.0991e-03    4.0032e-02
  177.0    9.7242e-04    9.7581e-04   -3.4803e-03    5.1903e-02
  180.0    9.7700e-04    9.7581e-04    1.2200e-03    6.6655e-02
  183.0    9.8010e-04    9.7581e-04    4.3942e-03    4.9621e-02
  186.0    9.7799e-04    9.7581e-04    2.2357e-03    4.4424e-02
  189.0    9.7323e-04    9.7581e-04   -2.6467e-03    3.1874e-03
  192.0    9.7149e-04    9.7581e-04   -4.4318e-03    5.5329e-03
  195.0    9.7474e-04    9.7581e-04   -1.0980e-03   -1.3050e-02
  198.0    9.7924e-04    9.7581e-04    3.5125e-03   -3.5530e-03
  201.0    9.8029e-04    9.7581e-04    4.5912e-03   -3.3395e-02
  204.0    9.7748e-04    9.7581e-04    1.7058e-03   -5.9305e-02
  207.0    9.7424e-04    9.7581e-04   -1.6114e-03   -8.9953e-02
  210.0    9.7358e-04    9.7581e-04   -2.2848e-03   -5.4632e-02
  213.0    9.7524e-04    9.7581e-04   -5.8955e-04   -4.5909e-02
  216.0    9.7680e-04    9.7581e-04    1.0151e-03   -1.0786e-02
  219.0    9.7659e-04    9.7581e-04    8.0025e-04   -5.8877e-03
  222.0    9.7515e-04    9.7581e-04   -6.8235e-04    7.6230e-02
  225.0    9.7433e-04    9.7581e-04   -1.5208e-03    8.7268e-02
  228.0    9.7515e-04    9.7581e-04   -6.8223e-04    4.8655e-02
  231.0    9.7659e-04    9.7581e-04    8.0001e-04   -6.3132e-02
   4    41  13.63   27.0    1.0    0.0   ----------------------------
  111.0    9.7765e-04    9.7563e-04    2.0740e-03    2.4692e-02
  114.0    9.7161e-04    9.7563e-04   -4.1187e-03   -1.9055e-03
  117.0    9.7205e-04    9.7563e-04   -3.6626e-03    2.6585e-03
  120.0    9.7745e-04    9.7563e-04    1.8705e-03   -2.3271e-03
  123.0    9.7762e-04    9.7563e-04    2.0401e-03    1.8172e-02
  126.0    9.7481e-04    9.7563e-04   -8.4072e-04   -1.2133e-02
  129.0    9.7580e-04    9.7563e-04    1.7595e-04   -1.4493e-03
  132.0    9.7582e-04    9.7563e-04    2.0361e-04   -4.7537e-03
  135.0    9.7419e-04    9.7563e-04   -1.4772e-03    1.7658e-02
  138.0    9.7704e-04    9.7563e-04    1.4482e-03    1.9383e-03
  141.0    9.7855e-04    9.7563e-04    2.9953e-03   -2.0774e-02
  144.0    9.7375e-04    9.7563e-04   -1.9238e-03   -1.8127e-02
  147.0    9.7249e-04    9.7563e-04   -3.2156e-03   -3.3409e-02
  150.0    9.7753e-04    9.7563e-04    1.9541e-03   -3.8623e-02
  153.0    9.7943e-04    9.7563e-04    3.8944e-03   -8.6046e-02
  156.0    9.7664e-04    9.7563e-04    1.0346e-03   -6.4417e-02
  159.0    9.7435e-04    9.7563e-04   -1.3052e-03   -2.8085e-03
  162.0    9.7379e-04    9.7563e-04   -1.8834e-03    5.7834e-02
  165.0    9.7526e-04    9.7563e-04   -3.7497e-04    7.5508e-02
  168.0    9.7838e-04    9.7563e-04    2.8244e-03    7.6232e-02
  171.0    9.7862e-04    9.7563e-04    3.0669e-03    4.3822e-02
  174.0    9.7430e-04    9.7563e-04   -1.3599e-03    3.0243e-02
  177.0    9.7168e-04    9.7563e-04   -4.0419e-03   -2.2376e-02
  180.0    9.7513e-04    9.7563e-04   -5.1242e-04   -2.2643e-02
  183.0    9.7925e-04    9.7563e-04    3.7129e-03    5.3222e-03
  186.0    9.7758e-04    9.7563e-04    2.0075e-03    6.6250e-03
  189.0    9.7302e-04    9.7563e-04   -2.6667e-03    4.4753e-02
  192.0    9.7284e-04    9.7563e-04   -2.8598e-03    2.9540e-02
  195.0    9.7729e-04    9.7563e-04    1.7104e-03    3.9787e-02
  198.0    9.7983e-04    9.7563e-04    4.3122e-03    2.5561e-02
  201.0    9.7710e-04    9.7563e-04    1.5140e-03   -1.4008e-02
  204.0    9.7311e-04    9.7563e-04   -2.5772e-03   -4.4771e-03
  207.0    9.7285e-04    9.7563e-04   -2.8417e-03   -5.3857e-02
  210.0    9.7596e-04    9.7563e-04    3.4690e-04   -7.3017e-02
  213.0    9.7847e-04    9.7563e-04    2.9128e-03   -8.9817e-02
  216.0    9.7809e-04    9.7563e-04    2.5220e-03   -5.8950e-02
  219.0    9.7578e-04    9.7563e-04    1.5283e-04    4.3706e-03
  222.0    9.7355e-04    9.7563e-04   -2.1238e-03    1.5420e-02
  225.0    9.7268e-04    9.7563e-04   -3.0198e-03    2.7836e-02
  228.0    9.7355e-04    9.7563e-04   -2.1238e-03    2.4525e-02
  231.0    9.7578e-04    9.7563e-04    1.5271e-04    5.3769e-02
   5    41  13.63   30.0    1.0    0.0   ----------------------------
  111.0    9.7618e-04    9.7543e-04    7.6866e-04   -2.5039e-02
  114.0    9.7406e-04    9.7543e-04   -1.4109e-03   -3.7031e-03
  117.0    9.7454e-04    9.7543e-04   -9.1732e-04    7.7065e-03
  120.0    9.7877e-04    9.7543e-04    3.4232e-03    4.2303e-03
  123.0    9.7787e-04    9.7543e-04    2.4928e-03    1.2450e-02
  126.0    9.7232e-04    9.7543e-04   -3.1903e-03    1.0414e-02
  129.0    9.7389e-04    9.7543e-04   -1.5833e-03    1.7261e-02
  132.0    9.7625e-04    9.7543e-04    8.3447e-04    2.8846e-02
  135.0    9.7421e-04    9.7543e-04   -1.2577e-03    4.3241e-02
  138.0    9.7730e-04    9.7543e-04    1.9112e-03    4.2917e-02
  141.0    9.7943e-04    9.7543e-04    4.0994e-03    7.0368e-03
  144.0    9.7509e-04    9.7543e-04   -3.5483e-04   -3.7225e-02
  147.0    9.7421e-04    9.7543e-04   -1.2530e-03   -8.0628e-02
  150.0    9.7530e-04    9.7543e-04   -1.4049e-04   -7.3895e-02
  153.0    9.7495e-04    9.7543e-04   -4.9412e-04   -6.6122e-02
  156.0    9.7771e-04    9.7543e-04    2.3321e-03   -3.3449e-02
  159.0    9.7757e-04    9.7543e-04    2.1913e-03   -9.4586e-03
  162.0    9.7121e-04    9.7543e-04   -4.3312e-03    2.7946e-02
  165.0    9.7019e-04    9.7543e-04   -5.3778e-03    2.0426e-02
  168.0    9.7687e-04    9.7543e-04    1.4738e-03    1.6024e-02
  171.0    9.7885e-04    9.7543e-04    3.5009e-03    1.2007e-02
  174.0    9.7299e-04    9.7543e-04   -2.5048e-03    2.7507e-02
  177.0    9.7029e-04    9.7543e-04   -5.2692e-03    2.6511e-02
  180.0    9.7555e-04    9.7543e-04    1.1671e-04    1.3554e-02
  183.0    9.7949e-04    9.7543e-04    4.1558e-03    1.0916e-02
  186.0    9.7547e-04    9.7543e-04    3.4094e-05    1.5062e-02
  189.0    9.7054e-04    9.7543e-04   -5.0133e-03    2.5573e-02
  192.0    9.7251e-04    9.7543e-04   -2.9986e-03    3.8724e-02
  195.0    9.7702e-04    9.7543e-04    1.6208e-03    4.7334e-02
  198.0    9.7640e-04    9.7543e-04    9.8670e-04    3.4943e-02
  201.0    9.7259e-04    9.7543e-04   -2.9203e-03    1.6305e-02
  204.0    9.7260e-04    9.7543e-04   -2.9068e-03   -2.7231e-02
  207.0    9.7690e-04    9.7543e-04    1.5055e-03   -6.2070e-02
  210.0    9.7970e-04    9.7543e-04    4.3712e-03   -8.4085e-02
  213.0    9.7805e-04    9.7543e-04    2.6840e-03   -6.7745e-02
  216.0    9.7518e-04    9.7543e-04   -2.5886e-04   -3.5937e-02
  219.0    9.7486e-04    9.7543e-04   -5.8550e-04    3.7936e-03
  222.0    9.7665e-04    9.7543e-04    1.2492e-03    1.3640e-02
  225.0    9.7774e-04    9.7543e-04    2.3584e-03    3.8415e-02
  228.0    9.7665e-04    9.7543e-04    1.2493e-03    2.7588e-02
  231.0    9.7486e-04    9.7543e-04   -5.8562e-04    1.6307e-02
   6    41  13.63   33.0    1.0    0.0   ----------------------------
  111.0    9.7135e-04    9.7651e-04   -5.2816e-03    9.4909e-03
  114.0    9.7761e-04    9.7651e-04    1.1319e-03   -2.1051e-02
  117.0    9.7920e-04    9.7651e-04    2.7633e-03   -7.7975e-03
  120.0    9.7753e-04    9.7651e-04    1.0470e-03    1.4761e-02
  123.0    9.7679e-04    9.7650e-04    2.8968e-04    4.2367e-02
  126.0    9.7308e-04    9.7651e-04   -3.5064e-03    3.3946e-02
  129.0    9.7543e-04    9.7651e-04   -1.1040e-03    3.4094e-02
  132.0    9.7816e-04    9.7651e-04    1.6927e-03   -1.3862e-03
  135.0    9.7359e-04    9.7651e-04   -2.9817e-03   -1.1130e-02
  138.0    9.7535e-04    9.7651e-04   -1.1813e-03   -3.2220e-02
  141.0    9.7735e-04    9.7651e-04    8.6939e-04   -1.5164e-02
  144.0    9.7582e-04    9.7651e-04   -7.0649e-04   -5.1957e-02
  147.0    9.7764e-04    9.7651e-04    1.1621e-03   -5.9681e-02
  150.0    9.7349e-04    9.7651e-04   -3.0861e-03   -6.8588e-02
  153.0    9.7020e-04    9.7651e-04   -6.4535e-03   -3.8589e-02
  156.0    9.7687e-04    9.7650e-04    3.7420e-04   -6.3267e-03
  159.0    9.7962e-04    9.7651e-04    3.1943e-03    4.8693e-03
  162.0    9.7561e-04    9.7651e-04   -9.1153e-04    9.8899e-03
  165.0    9.7518e-04    9.7651e-04   -1.3598e-03    2.0725e-02
  168.0    9.7978e-04    9.7651e-04    3.3586e-03    1.4746e-02
  171.0    9.8251e-04    9.7650e-04    6.1482e-03    3.7918e-02
  174.0    9.7864e-04    9.7650e-04    2.1913e-03    2.8539e-02
  177.0    9.7504e-04    9.7651e-04   -1.5024e-03    4.7724e-02
  180.0    9.7922e-04    9.7651e-04    2.7841e-03    4.3469e-02
  183.0    9.8309e-04    9.7651e-04    6.7410e-03    5.1377e-02
  186.0    9.7852e-04    9.7650e-04    2.0682e-03    4.3641e-02
  189.0    9.7466e-04    9.7651e-04   -1.8856e-03    2.8613e-02
  192.0    9.7908e-04    9.7651e-04    2.6376e-03    2.4612e-02
  195.0    9.8263e-04    9.7650e-04    6.2745e-03    1.4749e-02
  198.0    9.7822e-04    9.7651e-04    1.7577e-03   -3.5443e-03
  201.0    9.7322e-04    9.7651e-04   -3.3615e-03   -2.6282e-02
  204.0    9.7384e-04    9.7651e-04   -2.7331e-03   -4.6665e-02
  207.0    9.7551e-04    9.7651e-04   -1.0165e-03   -5.0691e-02
  210.0    9.7418e-04    9.7651e-04   -2.3826e-03   -6.4202e-02
  213.0    9.7266e-04    9.7651e-04   -3.9414e-03   -6.1280e-02
  216.0    9.7386e-04    9.7651e-04   -2.7102e-03   -4.6884e-02
  219.0    9.7608e-04    9.7651e-04   -4.3225e-04   -2.3413e-02
  222.0    9.7674e-04    9.7650e-04    2.3687e-04    3.3600e-03
  225.0    9.7652e-04    9.7651e-04    1.4663e-05    3.1216e-02
  228.0    9.7674e-04    9.7650e-04    2.3699e-04    4.9272e-02
  231.0    9.7608e-04    9.7651e-04   -4.3225e-04    4.7860e-02
   7    41  13.63   36.0    1.0    0.0   ----------------------------
  111.0    9.6989e-04    9.7513e-04   -5.3688e-03    2.5849e-02
  114.0    9.7502e-04    9.7513e-04   -1.0437e-04    4.0106e-03
  117.0    9.7594e-04    9.7513e-04    8.3125e-04   -1.0516e-02
  120.0    9.7215e-04    9.7513e-04   -3.0482e-03   -8.2474e-03
  123.0    9.7701e-04    9.7513e-04    1.9268e-03   -7.2891e-03
  126.0    9.7750e-04    9.7513e-04    2.4383e-03    1.5227e-02
  129.0    9.7625e-04    9.7513e-04    1.1516e-03    3.3361e-02
  132.0    9.7764e-04    9.7513e-04    2.5791e-03    2.9180e-02
  135.0    9.7384e-04    9.7513e-04   -1.3231e-03   -5.0403e-04
  138.0    9.7654e-04    9.7513e-04    1.4544e-03   -2.2137e-02
  141.0    9.7515e-04    9.7513e-04    2.0981e-05   -2.8610e-02
  144.0    9.7254e-04    9.7513e-04   -2.6553e-03   -2.9272e-02
  147.0    9.7782e-04    9.7513e-04    2.7622e-03   -2.4359e-02
  150.0    9.7615e-04    9.7513e-04    1.0470e-03   -4.1173e-02
  153.0    9.7547e-04    9.7513e-04    3.4976e-04   -6.5249e-02
  156.0    9.7863e-04    9.7513e-04    3.5944e-03   -7.1382e-02
  159.0    9.7984e-04    9.7513e-04    4.8295e-03   -5.7281e-02
  162.0    9.7879e-04    9.7513e-04    3.7534e-03   -1.4044e-02
  165.0    9.7237e-04    9.7513e-04   -2.8312e-03    2.0593e-02
  168.0    9.7079e-04    9.7513e-04   -4.4481e-03    6.5874e-02
  171.0    9.7575e-04    9.7513e-04    6.3431e-04    8.3510e-02
  174.0    9.7257e-04    9.7513e-04   -2.6199e-03    9.7499e-02
  177.0    9.6687e-04    9.7513e-04   -8.4665e-03    6.7722e-02
  180.0    9.7125e-04    9.7513e-04   -3.9769e-03    6.3434e-02
  183.0    9.7492e-04    9.7513e-04   -2.1315e-04    4.0195e-02
  186.0    9.6982e-04    9.7513e-04   -5.4436e-03    2.5301e-02
  189.0    9.6903e-04    9.7513e-04   -6.2508e-03    9.2320e-03
  192.0    9.7590e-04    9.7513e-04    7.9155e-04    1.4814e-03
  195.0    9.7718e-04    9.7513e-04    2.1033e-03   -2.0484e-02
  198.0    9.7305e-04    9.7513e-04   -2.1294e-03   -3.5781e-02
  201.0    9.7532e-04    9.7513e-04    2.0075e-04   -4.3690e-02
  204.0    9.8173e-04    9.7513e-04    6.7738e-03   -3.6224e-02
  207.0    9.8173e-04    9.7513e-04    6.7685e-03   -3.3061e-02
  210.0    9.7680e-04    9.7513e-04    1.7184e-03   -5.2335e-02
  213.0    9.7461e-04    9.7513e-04   -5.2607e-04   -3.4788e-02
  216.0    9.7554e-04    9.7513e-04    4.2498e-04   -3.1433e-02
  219.0    9.7618e-04    9.7513e-04    1.0849e-03   -2.6089e-02
  222.0    9.7564e-04    9.7513e-04    5.2822e-04   -1.1739e-02
  225.0    9.7515e-04    9.7513e-04    2.6345e-05    1.5708e-02
  228.0    9.7564e-04    9.7513e-04    5.2822e-04    5.0599e-02
  231.0    9.7618e-04    9.7513e-04    1.0849e-03    5.7604e-02
   8    41  13.63   39.0    1.0    0.0   ----------------------------
  111.0    9.8073e-04    9.7555e-04    5.3068e-03    1.7847e-02
  114.0    9.8009e-04    9.7555e-04    4.6488e-03   -9.3399e-03
  117.0    9.7643e-04    9.7555e-04    8.9681e-04   -1.6765e-02
  120.0    9.7000e-04    9.7555e-04   -5.6896e-03    1.8341e-02
  123.0    9.7395e-04    9.7555e-04   -1.6466e-03    3.0571e-02
  126.0    9.7666e-04    9.7555e-04    1.1308e-03    2.4047e-02
  129.0    9.7550e-04    9.7555e-04   -5.4002e-05    2.1677e-02
