    711    12   202     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         O              Oxygen phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)  p(l=10)  p(l=11)  p(l=12)  p(l=13)  p(l=14)  p(l=15)  p(l=16)  p(l=17)
        18              lnum
   14.7000   2.2198   1.3322   0.8641   0.5978   0.4184   0.3000   0.2118   0.1452   0.1025   0.0683   0.0377   0.0164   0.0057   0.0016   0.0004   0.0001   0.0000   0.0000
   14.7500   2.2157   1.3302   0.8636   0.5980   0.4191   0.3007   0.2128   0.1460   0.1032   0.0692   0.0385   0.0170   0.0059   0.0017   0.0004   0.0001   0.0000   0.0000
   14.8000   2.2116   1.3282   0.8632   0.5982   0.4198   0.3013   0.2138   0.1468   0.1038   0.0700   0.0394   0.0175   0.0062   0.0018   0.0004   0.0001   0.0000   0.0000
   14.8500   2.2074   1.3262   0.8628   0.5984   0.4205   0.3019   0.2148   0.1476   0.1044   0.0708   0.0402   0.0181   0.0065   0.0019   0.0005   0.0001   0.0000   0.0000
   14.9000   2.2033   1.3241   0.8624   0.5985   0.4212   0.3025   0.2158   0.1485   0.1050   0.0716   0.0411   0.0187   0.0067   0.0020   0.0005   0.0001   0.0000   0.0000
   14.9500   2.1993   1.3221   0.8620   0.5986   0.4219   0.3031   0.2168   0.1493   0.1056   0.0724   0.0419   0.0193   0.0070   0.0021   0.0005   0.0001   0.0000   0.0000
   15.0000   2.1952   1.3201   0.8616   0.5987   0.4226   0.3037   0.2177   0.1501   0.1062   0.0732   0.0428   0.0199   0.0073   0.0022   0.0005   0.0001   0.0000   0.0000
   15.0500   2.1911   1.3181   0.8612   0.5988   0.4233   0.3043   0.2187   0.1510   0.1068   0.0739   0.0436   0.0205   0.0076   0.0023   0.0006   0.0001   0.0000   0.0000
   15.1000   2.1870   1.3161   0.8608   0.5989   0.4240   0.3048   0.2196   0.1519   0.1074   0.0747   0.0445   0.0211   0.0080   0.0024   0.0006   0.0001   0.0000   0.0000
   15.1500   2.1829   1.3141   0.8604   0.5990   0.4247   0.3054   0.2205   0.1527   0.1079   0.0754   0.0453   0.0217   0.0083   0.0026   0.0007   0.0001   0.0000   0.0000
   15.2000   2.1789   1.3121   0.8601   0.5990   0.4254   0.3060   0.2214   0.1536   0.1085   0.0761   0.0462   0.0224   0.0086   0.0027   0.0007   0.0001   0.0000   0.0000
   15.2500   2.1748   1.3101   0.8597   0.5990   0.4260   0.3065   0.2223   0.1545   0.1091   0.0768   0.0470   0.0230   0.0090   0.0028   0.0007   0.0002   0.0000   0.0000
   15.3000   2.1708   1.3081   0.8594   0.5991   0.4267   0.3071   0.2232   0.1554   0.1097   0.0775   0.0478   0.0237   0.0093   0.0030   0.0008   0.0002   0.0000   0.0000
   15.3500   2.1667   1.3061   0.8590   0.5991   0.4274   0.3076   0.2240   0.1562   0.1103   0.0781   0.0486   0.0243   0.0097   0.0031   0.0008   0.0002   0.0000   0.0000
   15.4000   2.1627   1.3042   0.8587   0.5991   0.4281   0.3082   0.2248   0.1571   0.1108   0.0788   0.0495   0.0250   0.0100   0.0033   0.0009   0.0002   0.0000   0.0000
   15.4500   2.1587   1.3022   0.8583   0.5991   0.4287   0.3088   0.2256   0.1580   0.1114   0.0794   0.0503   0.0257   0.0104   0.0034   0.0009   0.0002   0.0000   0.0000
   15.5000   2.1546   1.3003   0.8580   0.5991   0.4294   0.3093   0.2264   0.1589   0.1120   0.0801   0.0511   0.0264   0.0108   0.0036   0.0010   0.0002   0.0000   0.0000
   15.5500   2.1506   1.2984   0.8576   0.5990   0.4300   0.3099   0.2272   0.1598   0.1126   0.0807   0.0519   0.0270   0.0112   0.0037   0.0010   0.0002   0.0000   0.0000
   15.6000   2.1466   1.2964   0.8572   0.5990   0.4307   0.3104   0.2279   0.1607   0.1132   0.0813   0.0527   0.0277   0.0116   0.0039   0.0011   0.0003   0.0000   0.0000
   15.6500   2.1426   1.2945   0.8569   0.5990   0.4313   0.3110   0.2287   0.1616   0.1138   0.0819   0.0534   0.0284   0.0120   0.0041   0.0011   0.0003   0.0001   0.0000
   15.7000   2.1386   1.2926   0.8565   0.5990   0.4319   0.3116   0.2294   0.1625   0.1144   0.0825   0.0542   0.0291   0.0125   0.0043   0.0012   0.0003   0.0001   0.0000
   15.7500   2.1346   1.2908   0.8562   0.5989   0.4325   0.3121   0.2301   0.1635   0.1150   0.0830   0.0550   0.0298   0.0129   0.0045   0.0013   0.0003   0.0001   0.0000
   15.8000   2.1306   1.2889   0.8558   0.5989   0.4331   0.3127   0.2308   0.1644   0.1156   0.0836   0.0557   0.0306   0.0133   0.0047   0.0013   0.0003   0.0001   0.0000
   15.8500   2.1267   1.2871   0.8554   0.5989   0.4337   0.3133   0.2314   0.1653   0.1162   0.0841   0.0565   0.0313   0.0138   0.0049   0.0014   0.0003   0.0001   0.0000
   15.9000   2.1227   1.2852   0.8550   0.5988   0.4342   0.3139   0.2321   0.1662   0.1168   0.0847   0.0572   0.0320   0.0142   0.0051   0.0015   0.0004   0.0001   0.0000
   15.9500   2.1188   1.2834   0.8546   0.5988   0.4348   0.3145   0.2327   0.1670   0.1175   0.0852   0.0579   0.0327   0.0147   0.0053   0.0016   0.0004   0.0001   0.0000
   16.0000   2.1148   1.2816   0.8542   0.5988   0.4353   0.3151   0.2333   0.1679   0.1181   0.0857   0.0586   0.0334   0.0152   0.0056   0.0017   0.0004   0.0001   0.0000
   16.0500   2.1109   1.2798   0.8538   0.5987   0.4358   0.3157   0.2340   0.1688   0.1187   0.0862   0.0593   0.0341   0.0157   0.0058   0.0017   0.0004   0.0001   0.0000
   16.1000   2.1070   1.2781   0.8534   0.5987   0.4363   0.3163   0.2345   0.1697   0.1194   0.0867   0.0600   0.0349   0.0162   0.0060   0.0018   0.0005   0.0001   0.0000
   16.1500   2.1031   1.2763   0.8529   0.5987   0.4368   0.3169   0.2351   0.1706   0.1201   0.0872   0.0607   0.0356   0.0167   0.0063   0.0019   0.0005   0.0001   0.0000
   16.2000   2.0992   1.2746   0.8525   0.5987   0.4373   0.3176   0.2357   0.1714   0.1207   0.0877   0.0613   0.0363   0.0172   0.0065   0.0020   0.0005   0.0001   0.0000
   16.2500   2.0954   1.2729   0.8520   0.5987   0.4377   0.3182   0.2362   0.1723   0.1214   0.0882   0.0620   0.0370   0.0177   0.0068   0.0021   0.0006   0.0001   0.0000
   16.3000   2.0915   1.2712   0.8515   0.5987   0.4381   0.3188   0.2368   0.1731   0.1221   0.0887   0.0626   0.0378   0.0183   0.0071   0.0022   0.0006   0.0001   0.0000
   16.3500   2.0877   1.2695   0.8511   0.5987   0.4386   0.3195   0.2373   0.1739   0.1228   0.0892   0.0633   0.0385   0.0188   0.0074   0.0024   0.0006   0.0001   0.0000
   16.4000   2.0839   1.2679   0.8506   0.5987   0.4390   0.3201   0.2378   0.1748   0.1235   0.0896   0.0639   0.0392   0.0193   0.0077   0.0025   0.0007   0.0002   0.0000
   16.4500   2.0801   1.2662   0.8501   0.5988   0.4393   0.3208   0.2384   0.1756   0.1242   0.0901   0.0645   0.0399   0.0199   0.0079   0.0026   0.0007   0.0002   0.0000
   16.5000   2.0763   1.2646   0.8495   0.5988   0.4397   0.3214   0.2389   0.1764   0.1249   0.0906   0.0651   0.0406   0.0204   0.0083   0.0027   0.0007   0.0002   0.0000
   16.5500   2.0725   1.2629   0.8490   0.5988   0.4400   0.3221   0.2394   0.1772   0.1256   0.0911   0.0657   0.0413   0.0210   0.0086   0.0028   0.0008   0.0002   0.0000
   16.6000   2.0688   1.2613   0.8485   0.5989   0.4404   0.3227   0.2399   0.1779   0.1263   0.0915   0.0662   0.0420   0.0216   0.0089   0.0030   0.0008   0.0002   0.0000
   16.6500   2.0651   1.2597   0.8479   0.5989   0.4407   0.3234   0.2404   0.1787   0.1271   0.0920   0.0668   0.0427   0.0222   0.0092   0.0031   0.0009   0.0002   0.0000
   16.7000   2.0614   1.2582   0.8473   0.5990   0.4410   0.3241   0.2409   0.1794   0.1278   0.0925   0.0673   0.0434   0.0227   0.0096   0.0033   0.0009   0.0002   0.0000
   16.7500   2.0577   1.2566   0.8468   0.5991   0.4413   0.3247   0.2414   0.1802   0.1285   0.0929   0.0679   0.0441   0.0233   0.0099   0.0034   0.0010   0.0002   0.0000
   16.8000   2.0540   1.2550   0.8462   0.5991   0.4415   0.3254   0.2418   0.1809   0.1293   0.0934   0.0684   0.0448   0.0239   0.0103   0.0036   0.0010   0.0003   0.0001
   16.8500   2.0504   1.2535   0.8456   0.5992   0.4418   0.3261   0.2423   0.1816   0.1300   0.0939   0.0689   0.0454   0.0245   0.0106   0.0037   0.0011   0.0003   0.0001
   16.9000   2.0468   1.2520   0.8450   0.5993   0.4420   0.3267   0.2428   0.1823   0.1308   0.0944   0.0694   0.0461   0.0251   0.0110   0.0039   0.0011   0.0003   0.0001
   16.9500   2.0432   1.2504   0.8443   0.5994   0.4423   0.3274   0.2433   0.1830   0.1315   0.0949   0.0699   0.0468   0.0257   0.0114   0.0041   0.0012   0.0003   0.0001
   17.0000   2.0396   1.2489   0.8437   0.5995   0.4425   0.3280   0.2438   0.1836   0.1323   0.0953   0.0704   0.0474   0.0263   0.0117   0.0042   0.0013   0.0003   0.0001
   17.0500   2.0360   1.2474   0.8431   0.5996   0.4427   0.3287   0.2443   0.1843   0.1331   0.0958   0.0708   0.0480   0.0269   0.0121   0.0044   0.0013   0.0003   0.0001
   17.1000   2.0325   1.2459   0.8424   0.5997   0.4429   0.3293   0.2448   0.1849   0.1338   0.0963   0.0713   0.0487   0.0276   0.0125   0.0046   0.0014   0.0004   0.0001
   17.1500   2.0290   1.2444   0.8418   0.5998   0.4431   0.3299   0.2453   0.1855   0.1346   0.0968   0.0717   0.0493   0.0282   0.0129   0.0048   0.0015   0.0004   0.0001
   17.2000   2.0255   1.2429   0.8411   0.5999   0.4433   0.3306   0.2458   0.1861   0.1353   0.0973   0.0722   0.0499   0.0288   0.0134   0.0050   0.0016   0.0004   0.0001
   17.2500   2.0220   1.2414   0.8405   0.6001   0.4435   0.3312   0.2463   0.1867   0.1361   0.0979   0.0726   0.0505   0.0294   0.0138   0.0052   0.0016   0.0004   0.0001
   17.3000   2.0186   1.2399   0.8398   0.6002   0.4436   0.3318   0.2468   0.1873   0.1369   0.0984   0.0731   0.0511   0.0300   0.0142   0.0054   0.0017   0.0005   0.0001
   17.3500   2.0152   1.2384   0.8391   0.6003   0.4438   0.3324   0.2473   0.1878   0.1376   0.0989   0.0735   0.0517   0.0307   0.0146   0.0057   0.0018   0.0005   0.0001
   17.4000   2.0118   1.2369   0.8385   0.6004   0.4440   0.3330   0.2478   0.1884   0.1384   0.0994   0.0739   0.0523   0.0313   0.0151   0.0059   0.0019   0.0005   0.0001
   17.4500   2.0084   1.2354   0.8378   0.6005   0.4441   0.3336   0.2483   0.1889   0.1391   0.1000   0.0743   0.0529   0.0319   0.0155   0.0061   0.0020   0.0005   0.0001
   17.5000   2.0050   1.2339   0.8371   0.6006   0.4443   0.3342   0.2489   0.1894   0.1399   0.1005   0.0747   0.0534   0.0325   0.0160   0.0064   0.0021   0.0006   0.0001
   17.5500   2.0017   1.2325   0.8365   0.6007   0.4444   0.3347   0.2494   0.1899   0.1406   0.1011   0.0751   0.0540   0.0331   0.0165   0.0066   0.0022   0.0006   0.0001
   17.6000   1.9984   1.2310   0.8358   0.6008   0.4446   0.3353   0.2500   0.1904   0.1413   0.1016   0.0755   0.0545   0.0338   0.0169   0.0069   0.0023   0.0006   0.0002
   17.6500   1.9951   1.2295   0.8351   0.6009   0.4447   0.3358   0.2505   0.1909   0.1421   0.1022   0.0759   0.0550   0.0344   0.0174   0.0071   0.0024   0.0007   0.0002
   17.7000   1.9918   1.2280   0.8345   0.6010   0.4449   0.3363   0.2511   0.1914   0.1428   0.1028   0.0763   0.0556   0.0350   0.0179   0.0074   0.0025   0.0007   0.0002
   17.7500   1.9886   1.2265   0.8338   0.6011   0.4451   0.3369   0.2516   0.1919   0.1435   0.1033   0.0767   0.0561   0.0356   0.0184   0.0077   0.0026   0.0008   0.0002
   17.8000   1.9853   1.2250   0.8331   0.6012   0.4452   0.3374   0.2522   0.1923   0.1442   0.1039   0.0771   0.0566   0.0362   0.0189   0.0080   0.0027   0.0008   0.0002
   17.8500   1.9821   1.2235   0.8325   0.6013   0.4454   0.3378   0.2527   0.1928   0.1449   0.1045   0.0775   0.0571   0.0368   0.0194   0.0082   0.0029   0.0008   0.0002
   17.9000   1.9789   1.2220   0.8318   0.6013   0.4455   0.3383   0.2533   0.1933   0.1456   0.1051   0.0779   0.0575   0.0374   0.0199   0.0085   0.0030   0.0009   0.0002
   17.9500   1.9757   1.2205   0.8312   0.6014   0.4457   0.3388   0.2539   0.1937   0.1463   0.1057   0.0783   0.0580   0.0380   0.0204   0.0088   0.0031   0.0009   0.0002
   18.0000   1.9725   1.2190   0.8306   0.6014   0.4459   0.3392   0.2545   0.1941   0.1469   0.1063   0.0786   0.0585   0.0386   0.0209   0.0091   0.0033   0.0010   0.0002
