    721    14   256     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

        Fe 2p           Silver radial matrix data

        binding energy =  685.175 eV

            k     R(li+1)    phase(li+1)     R(li-1)    phase(li-1)
       9.6500    0.39105E-01      2.8077    0.94063E-02      0.0308
       9.7000    0.38960E-01      2.8046    0.93789E-02      0.0196
       9.7500    0.38814E-01      2.8014    0.93516E-02      0.0085
       9.8000    0.38669E-01      2.7983    0.93242E-02     -0.0026
       9.8500    0.38524E-01      2.7951    0.92967E-02     -0.0136
       9.9000    0.38379E-01      2.7920    0.92692E-02     -0.0246
       9.9500    0.38234E-01      2.7889    0.92417E-02     -0.0355
      10.0000    0.38088E-01      2.7858    0.92141E-02     -0.0463
      10.0500    0.37943E-01      2.7827    0.91865E-02     -0.0571
      10.1000    0.37798E-01      2.7797    0.91588E-02     -0.0679
      10.1500    0.37653E-01      2.7766    0.91310E-02     -0.0785
      10.2000    0.37508E-01      2.7736    0.91032E-02     -0.0892
      10.2500    0.37363E-01      2.7706    0.90752E-02     -0.0997
      10.3000    0.37217E-01      2.7676    0.90472E-02     -0.1102
      10.3500    0.37071E-01      2.7646    0.90191E-02     -0.1207
      10.4000    0.36925E-01      2.7616    0.89909E-02     -0.1311
      10.4500    0.36779E-01      2.7587    0.89626E-02     -0.1414
      10.5000    0.36632E-01      2.7558    0.89341E-02     -0.1517
      10.5500    0.36484E-01      2.7529    0.89055E-02     -0.1620
      10.6000    0.36337E-01      2.7500    0.88768E-02     -0.1721
      10.6500    0.36188E-01      2.7471    0.88480E-02     -0.1823
      10.7000    0.36040E-01      2.7442    0.88190E-02     -0.1923
      10.7500    0.35890E-01      2.7414    0.87898E-02     -0.2024
      10.8000    0.35740E-01      2.7386    0.87606E-02     -0.2123
      10.8500    0.35590E-01      2.7358    0.87311E-02     -0.2223
      10.9000    0.35439E-01      2.7330    0.87016E-02     -0.2322
      10.9500    0.35287E-01      2.7302    0.86718E-02     -0.2420
      11.0000    0.35135E-01      2.7274    0.86420E-02     -0.2518
      11.0500    0.34982E-01      2.7246    0.86120E-02     -0.2616
      11.1000    0.34829E-01      2.7218    0.85819E-02     -0.2713
      11.1500    0.34676E-01      2.7190    0.85516E-02     -0.2810
      11.2000    0.34522E-01      2.7163    0.85212E-02     -0.2906
      11.2500    0.34367E-01      2.7135    0.84907E-02     -0.3002
      11.3000    0.34212E-01      2.7107    0.84601E-02     -0.3098
      11.3500    0.34058E-01      2.7079    0.84294E-02     -0.3193
      11.4000    0.33902E-01      2.7051    0.83986E-02     -0.3288
      11.4500    0.33747E-01      2.7023    0.83678E-02     -0.3383
