    711    12   257     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1              1 phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)
         9              lnum
    7.8500   0.3602  -1.5319   2.7306   1.2736   0.2263   0.0266   0.0027   0.0002   0.0000
    7.9000   0.3509  -1.5376   2.7338   1.2821   0.2361   0.0282   0.0029   0.0002   0.0000
    7.9500   0.3415  -1.5433   2.7369   1.2901   0.2461   0.0297   0.0031   0.0003   0.0000
    8.0000   0.3322  -1.5491   2.7398   1.2976   0.2564   0.0314   0.0033   0.0003   0.0000
    8.0500   0.3228  -1.5548   2.7427   1.3046   0.2669   0.0332   0.0035   0.0003   0.0000
    8.1000   0.3135  -1.5606   2.7454   1.3111   0.2777   0.0350   0.0038   0.0003   0.0000
    8.1500   0.3041  -1.5664   2.7479   1.3171   0.2888   0.0369   0.0040   0.0003   0.0000
    8.2000   0.2947  -1.5723   2.7504   1.3227   0.3000   0.0389   0.0043   0.0004   0.0000
    8.2500   0.2853  -1.5782   2.7526   1.3278   0.3115   0.0409   0.0046   0.0004   0.0000
    8.3000   0.2759  -1.5842   2.7547   1.3326   0.3233   0.0431   0.0049   0.0004   0.0000
    8.3500   0.2665  -1.5901   2.7566   1.3370   0.3352   0.0453   0.0052   0.0005   0.0000
    8.4000   0.2570  -1.5962   2.7584   1.3411   0.3473   0.0477   0.0055   0.0005   0.0000
    8.4500   0.2475  -1.6022   2.7599   1.3448   0.3596   0.0501   0.0059   0.0006   0.0000
    8.5000   0.2380  -1.6084   2.7613   1.3483   0.3721   0.0527   0.0062   0.0006   0.0000
    8.5500   0.2285  -1.6146   2.7625   1.3514   0.3847   0.0553   0.0066   0.0006   0.0000
    8.6000   0.2189  -1.6208   2.7635   1.3543   0.3974   0.0581   0.0071   0.0007   0.0001
    8.6500   0.2093  -1.6271   2.7644   1.3569   0.4103   0.0610   0.0075   0.0007   0.0001
    8.7000   0.1997  -1.6335   2.7650   1.3593   0.4233   0.0639   0.0080   0.0008   0.0001
    8.7500   0.1901  -1.6399   2.7655   1.3615   0.4363   0.0670   0.0084   0.0009   0.0001
    8.8000   0.1804  -1.6463   2.7658   1.3635   0.4494   0.0702   0.0089   0.0009   0.0001
    8.8500   0.1707  -1.6529   2.7659   1.3653   0.4626   0.0735   0.0095   0.0010   0.0001
    8.9000   0.1610  -1.6595   2.7658   1.3669   0.4758   0.0770   0.0100   0.0011   0.0001
    8.9500   0.1512  -1.6662   2.7655   1.3684   0.4889   0.0805   0.0106   0.0011   0.0001
    9.0000   0.1414  -1.6729   2.7650   1.3697   0.5021   0.0842   0.0113   0.0012   0.0001
    9.0500   0.1316  -1.6797   2.7644   1.3709   0.5152   0.0881   0.0119   0.0013   0.0001
    9.1000   0.1217  -1.6865   2.7635   1.3720   0.5283   0.0920   0.0126   0.0014   0.0001
    9.1500   0.1118  -1.6935   2.7625   1.3730   0.5413   0.0961   0.0133   0.0015   0.0001
    9.2000   0.1019  -1.7005   2.7613   1.3739   0.5542   0.1003   0.0141   0.0016   0.0001
    9.2500   0.0920  -1.7075   2.7600   1.3747   0.5670   0.1047   0.0148   0.0017   0.0002
    9.3000   0.0820  -1.7146   2.7585   1.3754   0.5796   0.1092   0.0157   0.0018   0.0002
    9.3500   0.0720  -1.7218   2.7568   1.3761   0.5921   0.1138   0.0165   0.0019   0.0002
    9.4000   0.0619  -1.7291   2.7550   1.3768   0.6044   0.1186   0.0174   0.0021   0.0002
    9.4500   0.0518  -1.7364   2.7530   1.3773   0.6166   0.1235   0.0183   0.0022   0.0002
    9.5000   0.0417  -1.7437   2.7509   1.3779   0.6285   0.1285   0.0193   0.0024   0.0002
    9.5500   0.0316  -1.7512   2.7486   1.3785   0.6403   0.1337   0.0203   0.0025   0.0002
    9.6000   0.0214  -1.7587   2.7462   1.3790   0.6518   0.1391   0.0214   0.0027   0.0003
    9.6500   0.0112  -1.7662   2.7436   1.3795   0.6630   0.1446   0.0225   0.0028   0.0003
    9.7000   0.0010  -1.7738   2.7409   1.3801   0.6741   0.1502   0.0237   0.0030   0.0003
    9.7500  -0.0093  -1.7815   2.7381   1.3806   0.6848   0.1560   0.0249   0.0032   0.0003
    9.8000  -0.0195  -1.7892   2.7352   1.3812   0.6953   0.1619   0.0261   0.0034   0.0004
    9.8500  -0.0298  -1.7970   2.7322   1.3818   0.7056   0.1680   0.0275   0.0036   0.0004
    9.9000  -0.0401  -1.8048   2.7290   1.3824   0.7155   0.1742   0.0288   0.0038   0.0004
    9.9500  -0.0505  -1.8127   2.7257   1.3831   0.7252   0.1805   0.0302   0.0041   0.0004
   10.0000  -0.0608  -1.8206   2.7224   1.3838   0.7346   0.1870   0.0317   0.0043   0.0005
   10.0500  -0.0712  -1.8286   2.7189   1.3846   0.7437   0.1936   0.0332   0.0046   0.0005
   10.1000  -0.0816  -1.8366   2.7154   1.3854   0.7524   0.2004   0.0348   0.0049   0.0005
   10.1500  -0.0920  -1.8446   2.7118   1.3863   0.7609   0.2073   0.0365   0.0051   0.0006
   10.2000  -0.1025  -1.8527   2.7081   1.3873   0.7691   0.2143   0.0382   0.0054   0.0006
   10.2500  -0.1129  -1.8608   2.7043   1.3884   0.7771   0.2215   0.0400   0.0058   0.0007
   10.3000  -0.1234  -1.8690   2.7004   1.3895   0.7847   0.2287   0.0418   0.0061   0.0007
   10.3500  -0.1338  -1.8772   2.6965   1.3907   0.7920   0.2361   0.0438   0.0064   0.0008
   10.4000  -0.1443  -1.8854   2.6925   1.3920   0.7990   0.2436   0.0457   0.0068   0.0008
   10.4500  -0.1548  -1.8937   2.6885   1.3934   0.8058   0.2512   0.0478   0.0072   0.0009
   10.5000  -0.1653  -1.9020   2.6844   1.3949   0.8123   0.2589   0.0499   0.0076   0.0009
   10.5500  -0.1758  -1.9103   2.6803   1.3965   0.8185   0.2667   0.0521   0.0080   0.0010
   10.6000  -0.1863  -1.9186   2.6762   1.3982   0.8244   0.2746   0.0544   0.0084   0.0010
   10.6500  -0.1968  -1.9269   2.6720   1.3999   0.8300   0.2824   0.0567   0.0089   0.0011
   10.7000  -0.2073  -1.9353   2.6678   1.4018   0.8354   0.2904   0.0591   0.0094   0.0012
   10.7500  -0.2178  -1.9437   2.6635   1.4038   0.8405   0.2985   0.0616   0.0099   0.0013
   10.8000  -0.2283  -1.9521   2.6593   1.4059   0.8454   0.3067   0.0642   0.0104   0.0013
   10.8500  -0.2388  -1.9605   2.6550   1.4081   0.8501   0.3149   0.0669   0.0109   0.0014
   10.9000  -0.2493  -1.9689   2.6507   1.4104   0.8545   0.3232   0.0696   0.0115   0.0015
   10.9500  -0.2597  -1.9773   2.6464   1.4129   0.8587   0.3315   0.0725   0.0121   0.0016
   11.0000  -0.2702  -1.9857   2.6422   1.4154   0.8627   0.3398   0.0754   0.0127   0.0017
   11.0500  -0.2806  -1.9941   2.6379   1.4180   0.8664   0.3482   0.0784   0.0134   0.0018
   11.1000  -0.2911  -2.0026   2.6336   1.4207   0.8700   0.3565   0.0815   0.0141   0.0019
   11.1500  -0.3015  -2.0110   2.6293   1.4236   0.8733   0.3649   0.0847   0.0148   0.0021
   11.2000  -0.3119  -2.0194   2.6251   1.4265   0.8765   0.3733   0.0879   0.0155   0.0022
   11.2500  -0.3223  -2.0278   2.6209   1.4295   0.8795   0.3816   0.0913   0.0163   0.0023
   11.3000  -0.3327  -2.0362   2.6166   1.4327   0.8823   0.3899   0.0948   0.0171   0.0025
   11.3500  -0.3430  -2.0445   2.6125   1.4359   0.8849   0.3982   0.0983   0.0179   0.0026
   11.4000  -0.3533  -2.0529   2.6083   1.4392   0.8874   0.4065   0.1019   0.0188   0.0028
   11.4500  -0.3636  -2.0612   2.6042   1.4425   0.8897   0.4147   0.1057   0.0196   0.0029
   11.5000  -0.3739  -2.0695   2.6002   1.4460   0.8919   0.4228   0.1095   0.0206   0.0031
   11.5500  -0.3842  -2.0778   2.5961   1.4495   0.8939   0.4309   0.1134   0.0215   0.0033
   11.6000  -0.3944  -2.0861   2.5921   1.4531   0.8958   0.4389   0.1174   0.0226   0.0034
   11.6500  -0.4046  -2.0943   2.5882   1.4568   0.8976   0.4468   0.1215   0.0236   0.0036
   11.7000  -0.4147  -2.1025   2.5843   1.4605   0.8992   0.4547   0.1257   0.0247   0.0038
   11.7500  -0.4248  -2.1107   2.5805   1.4643   0.9008   0.4624   0.1300   0.0258   0.0041
   11.8000  -0.4349  -2.1189   2.5767   1.4681   0.9022   0.4701   0.1344   0.0270   0.0043
   11.8500  -0.4449  -2.1270   2.5730   1.4719   0.9036   0.4776   0.1388   0.0282   0.0045
   11.9000  -0.4549  -2.1350   2.5694   1.4758   0.9048   0.4850   0.1434   0.0294   0.0048
   11.9500  -0.4649  -2.1431   2.5658   1.4797   0.9060   0.4923   0.1480   0.0307   0.0050
   12.0000  -0.4748  -2.1510   2.5623   1.4836   0.9071   0.4994   0.1528   0.0320   0.0053
   12.0500  -0.4847  -2.1590   2.5589   1.4875   0.9081   0.5065   0.1576   0.0334   0.0056
   12.1000  -0.4945  -2.1669   2.5555   1.4914   0.9091   0.5134   0.1625   0.0349   0.0059
   12.1500  -0.5042  -2.1747   2.5522   1.4954   0.9100   0.5201   0.1675   0.0363   0.0062
   12.2000  -0.5140  -2.1825   2.5490   1.4993   0.9109   0.5267   0.1725   0.0379   0.0065
   12.2500  -0.5236  -2.1902   2.5459   1.5032   0.9117   0.5331   0.1777   0.0394   0.0069
   12.3000  -0.5333  -2.1979   2.5428   1.5071   0.9125   0.5394   0.1829   0.0411   0.0072
   12.3500  -0.5428  -2.2056   2.5399   1.5109   0.9133   0.5456   0.1882   0.0428   0.0076
   12.4000  -0.5523  -2.2131   2.5370   1.5147   0.9140   0.5516   0.1936   0.0445   0.0080
   12.4500  -0.5618  -2.2206   2.5342   1.5185   0.9147   0.5574   0.1990   0.0463   0.0084
   12.5000  -0.5712  -2.2281   2.5314   1.5222   0.9154   0.5631   0.2045   0.0481   0.0088
   12.5500  -0.5805  -2.2355   2.5288   1.5258   0.9161   0.5686   0.2100   0.0500   0.0092
   12.6000  -0.5898  -2.2428   2.5262   1.5294   0.9167   0.5739   0.2156   0.0520   0.0097
   12.6500  -0.5990  -2.2501   2.5238   1.5329   0.9174   0.5791   0.2213   0.0540   0.0101
   12.7000  -0.6082  -2.2573   2.5214   1.5364   0.9181   0.5841   0.2270   0.0561   0.0106
   12.7500  -0.6173  -2.2644   2.5191   1.5398   0.9188   0.5889   0.2328   0.0582   0.0112
   12.8000  -0.6263  -2.2714   2.5169   1.5430   0.9195   0.5936   0.2386   0.0604   0.0117
   12.8500  -0.6353  -2.2784   2.5147   1.5462   0.9202   0.5981   0.2444   0.0627   0.0122
